Название,Кол-во,Длина,Примечание
ALS-1103,48,2550,
ALS-1288,92,2750,
ALS-1289,100,2750,
ALS-1290,83,2750,
ALS-1291,68,2750,
ALS-1320,27,2750,
ALS-1360,27,2500,
ALS-798,66,2750,
ALS-917,110,2750,
АТ-4863,53,2700,
АТ-4888,47,2750,
АТ-4892,50,2750,
АТ-4893,56,2750,
АТ-6324,75,2760,
АТ-6844,51,2750,
АТ-7121,58,2750,
АТ-7262,56,2750,
АТ-7314,63,2750,
Круг.тр.10мм,96,3000,
Круг.тр.8мм,102,3000,
МС16-25,46,2400,
МС16-20,60,2400,
МС18,76,2400,
ПП50,30,2500,
ПП79,22,2500,
ПТ40,48,2700,
ПТ60,33,2750,
ПТ80,26,2750,
СРЛ033,46,2700,
СРЛ035,58,2700,
СРЛ10,20,2700,
СРЛ100,72,2700,
СРЛ110,58,2700,
СРЛ120,48,2700,
СРЛ1212,88,2700,
СРЛ140,50,2700,
СРЛ1515,79,2700,
СРЛ2212,65,2700,
СРЛ2525,46,2700,
СРЛ2626,46,2700,
СРЛ3326,48,2700,
СРЛ3328,50,2700,
СРЛ3329,64,2700,
СРЛ3414,53,2700,
СРЛ3418,64,2700,
СРЛ3584,40,2700,
СРЛ3586,58,2700,
СРЛ4040,29,2700,
СРЛ60,36,2700,
СРЛ664,35,2700,
СРЛ80,25,2700,
СРЛ84,58,2700,
СРЛ87,37,2700,
СРЛ973,35,2700,
СРМ228,72,2700,
СРМ229,69,2700,
СРМ259,20,2500,
СРМ314,51,2700,
СРМ318,76,2700,
СРМ324,86,2700,
СРМ325,62,2700,
СРМ337,64,2700,
СРМ347,74,2700,
СРМ352,42,2700,
СРМ357,50,2700,
СРМ361,61,2700,
СРМ362,54,2700,
СРМ371,58,2700,
СРМ381,48,2700,
СРМ389,84,2700,
СРМ480,47,2700,
Уг.1212 3м,90,3000,
Уг.1515 3м,82,3000,
Уг.2020 3м,72,3000,
Уг.2525 3м,64,3000,
Уг.3030 3м,58,3000,
Уг.4040 3м,26,3000,
Уг.5050 3м,21,3000,
ЮП-003,72,2750,
ЮП-009,70,3050,
ЮП-011,52,3050,
ЮП-048,56,2750,
ЮП-081,86,2750,
ЮП-137,43,2750,
ЮП-1401,96,3050,
ЮП-1629,35,3050,
ЮП-1875,36,2550,
ЮП-1880,28,2550,
ЮП-2004,42,3050,
ЮП-2012,38,2750,
ЮП-2076,22,2550,
ЮП-2077,59,2750,
ЮП-2081,60,2750,
ЮП-2082,46,2750,
ЮП-2083,50,2750,
ЮП-2183,72,2750,
ЮП-2256,53,2510,
ЮП-2397,82,2750,
ЮП-2464-1,30,2550,
ЮП-2604,58,2750,
ЮП-2616,62,2750,
ЮП-2627,53,2750,
ЮП-2630,48,2750,
ЮП-2695,60,2750,
ЮП-2815,51,2750,
ЮП-2816,48,2750,
ЮП-2878,36,2750,
ЮП-2900,47,2750,
ЮП-2902,74,2750,
ЮП-2910,66,2750,
ЮП-2974,40,3050,
ЮП-2975,22,2550,
ЮП-3019,64,2750,
ЮП-3094,47,2750,
ЮП-3123,76,2750,
ЮП-3167,50,2750,
ЮП-3168,54,2750,
ЮП-3177,84,2750,
ЮП-3233,76,2450,
ЮП-3270,60,2450,
ЮП-3361,26,2540,
ЮП-3473,62,2750,
ЮП-3688,37,2500,
ЮП-3690,33,2500,
ЮП-460,72,2750,
